Model,Input,Parameters,Trainable,Size_MB,Inference_ms,Std_ms,Min_ms,Max_ms
SRCNN,"(3, 256, 256)",20099,20099,0.07667160034179688,15.839339840001685,1.7491499307102463,14.188434999937272,22.505584999976236
EDSR,"(3, 256, 256)",1222147,1222147,4.662120819091797,655.5341836999947,32.7160854803506,593.1648849999647,721.1786230000143
EfficientNet-B3,"(3, 300, 300)",10702380,10702380,40.82633972167969,66.11574001999998,14.67121539904004,46.02470199995423,103.59762599989608
